track_name,artist(s)_name,artist_count,released_day,released_month,released_year,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,streams
LA CANCION,"J Balvin, Bad Bunny",2,28,6,2019,6398,31,177,109,305,3,1435127549
Arcade,Duncan Laurence,1,7,3,2019,6646,0,107,47,584,1,991336132
Heather,Conan Gray,1,20,3,2020,6170,7,82,1,231,0,1301799902
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,13,3,2020,6734,0,47,14,90,0,530511203
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,18,12,2020,668,1,0,0,31,0,140430339
Heat Waves,Glass Animals,1,28,6,2020,22543,63,386,144,707,28,2557975762
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,20,3,2020,9161,5,240,98,468,3,1221813483
A Tu Merced,Bad Bunny,1,29,2,2020,4214,11,21,20,40,0,685071800
Mon Amour - Remix,"Aitana, zzoilo",2,21,9,2020,3221,2,67,13,139,0,578207856
HEARTBREAK ANNIVERSARY,Giveon,1,21,2,2020,5398,4,111,127,210,0,951637566
cardigan,Taylor Swift,1,24,7,2020,7923,29,106,112,142,4,812019557
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,27,3,2020,15894,8,198,13,544,0,1802514301
Good Days,SZA,1,24,12,2020,10426,2,133,109,182,1,826623384
Bad Habits,Ed Sheeran,1,3,9,2020,12755,8,344,97,945,15,1555511105
Contection,"GODZZ__-, Zakaria",2,16,1,2020,6955,0,65,45,398,0,1180896317
positions,Ariana Grande,1,23,10,2020,8207,0,175,55,95,0,1252563873
MIDDLE OF THE NIGHT,Elley DuhÃ¯Â¿,1,10,1,2020,4057,8,78,21,240,1,872137015
Sky,Playboi Carti,1,25,12,2020,3297,3,25,3,52,0,506778838
La Santa,"Daddy Yankee, Bad Bunny",2,29,2,2020,4890,20,52,42,100,0,759208783
Caile,Luar La L,1,18,12,2020,1494,2,17,12,15,0,273914335
La Zona,Bad Bunny,1,29,2,2020,1188,0,13,1,15,0,312622938
Todo De Ti,Rauw Alejandro,1,2,11,2020,11975,8,188,75,268,6,1168642797
Levitating,Dua Lipa,1,27,3,2020,9833,0,233,82,531,1,797196073
The Business,TiÃ¯Â¿Â½Ã¯Â¿,1,1,1,2020,14311,0,255,32,582,0,1062345656
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,24,7,2020,272,4,7,21,2,0,327498031
After Hours,The Weeknd,1,19,2,2020,8084,6,45,115,218,1,698086140
Life Goes On,Oliver Tree,1,17,7,2020,2868,0,43,15,116,0,501541661
Angels Like You,Miley Cyrus,1,27,11,2020,3372,19,65,48,138,1,570515054
Demasiadas Mujeres,C. Tangana,1,8,10,2020,2226,0,36,2,11,0,339473453
Shinunoga E-WaÂ ,Fujii Kaze,1,20,5,2020,685,14,24,94,9,0,403097450
Still With You,Jung Kook,1,5,6,2020,31,39,2,107,8,0,38411956
august,Taylor Swift,1,24,7,2020,7324,22,25,81,61,1,607123776
Save Your Tears,The Weeknd,1,20,3,2020,12688,13,197,115,112,0,1591223784
you broke me first,Tate McRae,1,17,4,2020,6638,0,167,19,318,0,1180094974
Shut up My Moms Calling,Hotel Ugly,1,10,2,2020,1788,14,1,50,19,0,405136812
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,24,7,2020,12854,0,237,27,636,0,1699402402
Dakiti,"Bad Bunny, Jhay Cortez",2,30,10,2020,11215,21,189,166,525,9,1763363713
Dynamite,BTS,1,21,8,2020,8528,5,239,163,583,0,1692897992
MONTERO (Call Me By Your Name),Lil Nas X,1,18,9,2020,12329,0,275,19,738,0,1735441776
DANCE CRIP,Trueno,1,17,11,2021,731,0,14,14,24,0,198883004
ELEVEN,IVE,1,1,12,2021,521,1,17,89,11,0,247737946
Mujeriego,Ryan Castro,1,17,12,2021,1492,0,44,63,91,0,231996128
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,19,11,2021,802,0,13,27,8,0,154797871
Surface Pressure,Jessica Darrow,1,19,11,2021,1756,0,38,48,20,0,267758538
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,19,11,2021,3541,2,57,13,50,1,252871192
2055,Sleepy hallow,1,14,4,2021,2226,0,29,0,44,0,624515457
Tacones Rojos,Sebastian Yatra,1,22,10,2021,3047,9,77,31,85,5,510876816
THATS WHAT I WANT,Lil Nas X,1,17,9,2021,7963,0,173,7,298,0,920797189
Sobrio,Maluma,1,8,7,2021,3506,10,103,76,100,1,513643924
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,3,9,2021,6180,7,122,88,580,21,1223481149
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,12,11,2021,4635,5,50,49,30,1,583687007
Malvadao,"XamÃ¯Â¿Â½Ã¯Â¿Â½, Gustah, Neo B",3,30,11,2021,648,1,14,3,81,0,240684449
drivers license,Olivia Rodrigo,1,8,1,2021,12685,3,185,61,485,0,1858144199
Toxic,BoyWithUke,1,10,9,2021,1795,0,34,23,118,0,582981380
Get Into It (Yuh),Doja Cat,1,25,6,2021,4999,0,43,19,73,12,516784627
traitor,"Juan Cruz Toledo, Huilen Toledo",2,21,5,2021,5257,6,85,43,134,0,1230855859
Praise God,Kanye West,1,29,8,2021,4651,0,24,6,105,0,376333030
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,22,10,2021,7495,17,114,172,284,2,611994237
Happier Than Ever,Billie Eilish,1,30,7,2021,8476,0,138,133,283,0,1056760045
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,13,8,2021,6890,0,122,11,201,0,427486004
The Motto,"TiÃ¯Â¿Â½Ã¯Â¿Â½sto, Ava",2,4,11,2021,9151,6,240,107,268,0,656013912
Christmas Tree,V,1,24,12,2021,509,9,8,106,6,0,317622165
MONEY,Lisa,1,10,9,2021,2566,13,44,109,131,0,863625566
My Universe,"Coldplay, BTS",2,24,9,2021,6127,13,0,0,0,0,1061966512
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,5,10,2021,3423,26,61,65,53,6,775542072
Oh My God,Adele,1,19,11,2021,4431,0,105,7,199,0,466214729
Hrs and Hrs,Muni Long,1,19,11,2021,1800,0,43,36,46,13,181328253
Problemon,"Alvaro Diaz, Rauw Alejandro",2,22,10,2021,1517,0,42,7,15,0,209768491
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,5,11,2021,4771,0,68,18,75,0,539595276
Thunder,"Prezioso, Gabry Ponte, LUM!X",3,7,5,2021,4846,10,54,16,259,0,422691058
happier,Olivia Rodrigo,1,21,5,2021,3069,4,25,46,105,0,850608354
Ley Seca,"Anuel Aa, Jhay Cortez",2,2,9,2021,2012,0,101,12,38,0,355219175
Cigarettes,Juice WRLD,1,10,12,2021,975,0,11,0,10,0,185408548
You Right,"Doja Cat, The Weeknd",2,24,6,2021,5073,0,83,9,100,0,672656250
